,ID,DATE,CURRENCY,PX_LAST,INDEX
180,LBUSTRUU Index,2014-03-19,,1833.44,LBUSTRUU Index
181,LBUSTRUU Index,2014-03-20,,1832.83,LBUSTRUU Index
182,LBUSTRUU Index,2014-03-21,,1836.05,LBUSTRUU Index
183,LBUSTRUU Index,2014-03-22,,,LBUSTRUU Index
184,LBUSTRUU Index,2014-03-23,,,LBUSTRUU Index
185,LBUSTRUU Index,2014-03-24,,1837.23,LBUSTRUU Index
186,LBUSTRUU Index,2014-03-25,,1837.8,LBUSTRUU Index
187,LBUSTRUU Index,2014-03-26,,1841.44,LBUSTRUU Index
188,LBUSTRUU Index,2014-03-27,,1843.68,LBUSTRUU Index
189,LBUSTRUU Index,2014-03-28,,1840.83,LBUSTRUU Index
190,LBUSTRUU Index,2014-03-29,,,LBUSTRUU Index
191,LBUSTRUU Index,2014-03-30,,,LBUSTRUU Index
192,LBUSTRUU Index,2014-03-31,,1840.37,LBUSTRUU Index
193,LBUSTRUU Index,2014-04-01,,1838.39,LBUSTRUU Index
194,LBUSTRUU Index,2014-04-02,,1834.71,LBUSTRUU Index
195,LBUSTRUU Index,2014-04-03,,1836.55,LBUSTRUU Index
196,LBUSTRUU Index,2014-04-04,,1842.68,LBUSTRUU Index
197,LBUSTRUU Index,2014-04-05,,,LBUSTRUU Index
198,LBUSTRUU Index,2014-04-06,,,LBUSTRUU Index
199,LBUSTRUU Index,2014-04-07,,1846.09,LBUSTRUU Index
200,LBUSTRUU Index,2014-04-08,,1847.32,LBUSTRUU Index
201,LBUSTRUU Index,2014-04-09,,1848.1,LBUSTRUU Index
202,LBUSTRUU Index,2014-04-10,,1854.0,LBUSTRUU Index
203,LBUSTRUU Index,2014-04-11,,1854.75,LBUSTRUU Index
204,LBUSTRUU Index,2014-04-12,,,LBUSTRUU Index
205,LBUSTRUU Index,2014-04-13,,,LBUSTRUU Index
206,LBUSTRUU Index,2014-04-14,,1853.06,LBUSTRUU Index
207,LBUSTRUU Index,2014-04-15,,1853.72,LBUSTRUU Index
208,LBUSTRUU Index,2014-04-16,,1852.91,LBUSTRUU Index
209,LBUSTRUU Index,2014-04-17,,1847.06,LBUSTRUU Index
210,LBUSTRUU Index,2014-04-18,,,LBUSTRUU Index
211,LBUSTRUU Index,2014-04-19,,,LBUSTRUU Index
212,LBUSTRUU Index,2014-04-20,,,LBUSTRUU Index
213,LBUSTRUU Index,2014-04-21,,1847.03,LBUSTRUU Index
214,LBUSTRUU Index,2014-04-22,,1847.47,LBUSTRUU Index
215,LBUSTRUU Index,2014-04-23,,1851.32,LBUSTRUU Index
216,LBUSTRUU Index,2014-04-24,,1851.71,LBUSTRUU Index
217,LBUSTRUU Index,2014-04-25,,1853.68,LBUSTRUU Index
218,LBUSTRUU Index,2014-04-26,,,LBUSTRUU Index
219,LBUSTRUU Index,2014-04-27,,,LBUSTRUU Index
220,LBUSTRUU Index,2014-04-28,,1853.12,LBUSTRUU Index
221,LBUSTRUU Index,2014-04-29,,1851.4,LBUSTRUU Index
222,LBUSTRUU Index,2014-04-30,,1855.9,LBUSTRUU Index
223,LBUSTRUU Index,2014-05-01,,1860.07,LBUSTRUU Index
224,LBUSTRUU Index,2014-05-02,,1861.06,LBUSTRUU Index
225,LBUSTRUU Index,2014-05-03,,,LBUSTRUU Index
226,LBUSTRUU Index,2014-05-04,,,LBUSTRUU Index
227,LBUSTRUU Index,2014-05-05,,1859.67,LBUSTRUU Index
228,LBUSTRUU Index,2014-05-06,,1861.58,LBUSTRUU Index
229,LBUSTRUU Index,2014-05-07,,1862.91,LBUSTRUU Index
230,LBUSTRUU Index,2014-05-08,,1863.94,LBUSTRUU Index
231,LBUSTRUU Index,2014-05-09,,1861.57,LBUSTRUU Index
232,LBUSTRUU Index,2014-05-10,,,LBUSTRUU Index
233,LBUSTRUU Index,2014-05-11,,,LBUSTRUU Index
234,LBUSTRUU Index,2014-05-12,,1859.38,LBUSTRUU Index
235,LBUSTRUU Index,2014-05-13,,1862.52,LBUSTRUU Index
236,LBUSTRUU Index,2014-05-14,,1869.32,LBUSTRUU Index
237,LBUSTRUU Index,2014-05-15,,1871.77,LBUSTRUU Index
238,LBUSTRUU Index,2014-05-16,,1870.02,LBUSTRUU Index
239,LBUSTRUU Index,2014-05-17,,,LBUSTRUU Index
240,LBUSTRUU Index,2014-05-18,,,LBUSTRUU Index
241,LBUSTRUU Index,2014-05-19,,1868.99,LBUSTRUU Index
242,LBUSTRUU Index,2014-05-20,,1871.66,LBUSTRUU Index
243,LBUSTRUU Index,2014-05-21,,1869.62,LBUSTRUU Index
244,LBUSTRUU Index,2014-05-22,,1868.19,LBUSTRUU Index
245,LBUSTRUU Index,2014-05-23,,1870.1,LBUSTRUU Index
246,LBUSTRUU Index,2014-05-24,,,LBUSTRUU Index
247,LBUSTRUU Index,2014-05-25,,,LBUSTRUU Index
248,LBUSTRUU Index,2014-05-26,,,LBUSTRUU Index
249,LBUSTRUU Index,2014-05-27,,1872.43,LBUSTRUU Index
250,LBUSTRUU Index,2014-05-28,,1879.33,LBUSTRUU Index
251,LBUSTRUU Index,2014-05-29,,1877.65,LBUSTRUU Index
252,LBUSTRUU Index,2014-05-30,,1877.03,LBUSTRUU Index
253,LBUSTRUU Index,2014-05-31,,,LBUSTRUU Index
254,LBUSTRUU Index,2014-06-01,,,LBUSTRUU Index
255,LBUSTRUU Index,2014-06-02,,1871.04,LBUSTRUU Index
256,LBUSTRUU Index,2014-06-03,,1866.41,LBUSTRUU Index
257,LBUSTRUU Index,2014-06-04,,1865.83,LBUSTRUU Index
258,LBUSTRUU Index,2014-06-05,,1868.22,LBUSTRUU Index
259,LBUSTRUU Index,2014-06-06,,1867.39,LBUSTRUU Index
260,LBUSTRUU Index,2014-06-07,,,LBUSTRUU Index
